Sektor,Unit,Tugas,Peruntukan,Nama Program ,"Bilangan
Peserta",Tarikh Mula,Tarikh Tamat,Nama Pegawai Bertanggungjawab,Gred Pegawai,Status Pelaksanaan,JUSTIFIKASI BELUM BERMULA/DIPINDA/DIBATALKAN,0S21000 (a1),OS24000 (a2),OS27000 (a3),OS29000 (a4),JUMLAH ANGGARAN PERBELANJAAN (a1+a2+a3+a4),0S21000 (b),OS24000 (b),OS27000 (b),OS29000 (b),JUMLAH KOMITMEN (b1+b2+b3+b4)
SPHEMK,Unit Kokurikulum,Bengkel,MAKmur,A1. Bengkel Perkongsian Ilmu Model Sekolah Projek Memperkasa Amalan Kemenjadian Murid (MAKMur),20,28/02/2025,28/02/2025,Pn. Nordiana binti Khalid,DG12,Selesai,-,RM0.00,RM0.00,RM0.00,RM300.00,RM300.00,RM0.00,RM0.00,RM0.00,RM300.00,RM300.00
SPHEMK,Unit Kokurikulum,Bengkel/Kerja,MAKmur,"A2. Bengkel Kerja Pemurnian Kerangka Matriks, Kertas Konsep dan Instrumen Penilaian Model Sekolah Projek MAKMur Tahun 2025",15,11/03/2025,13/03/2025,Pn. Nordiana binti Khalid,DG12,Selesai,-,"RM8,510.27",RM0.00,RM0.00,RM0.00,"RM8,510.27","RM8,510.27",RM0.00,RM0.00,RM0.00,"RM8,510.27"
SPHEMK,Unit Kokurikulum,Bengkel,MAKmur,A3. Bengkel Perkongsian Ilmu dan Penataran Penilaian Model Sekolah Projek MAKMur Tahun 2025,40,21/04/2025,21/04/2025,Pn. Nordiana binti Khalid,DG12,Selesai,,"RM5,686.95",RM0.00,RM0.00,RM600.00,"RM6,286.95","RM5,686.95",RM0.00,RM0.00,RM600.00,"RM6,286.95"
SPHEMK,Unit Kokurikulum,Penilaian,MAKmur,A4. Penilaian Model Sekolah Projek Memperkasa Amalan Kemenjadian Murid (MAKMur) Tahun 2025,36,04/05/2025,23/05/2025,Pn. Nordiana binti Khalid,DG12,Selesai,,"RM32,000.00",RM0.00,RM0.00,RM0.00,"RM32,000.00","RM32,000.00",RM0.00,RM0.00,RM0.00,"RM32,000.00"
SPHEMK,Unit Kokurikulum,Pemantauan,MAKmur,A5. Pemantauan Penilaian Model Sekolah Projek Memperkasa Amalan Kemenjadian Murid (MAKMur) Tahun 2025,2,04/05/2025,23/05/2025,Pn. Nordiana binti Khalid,DG12,Selesai,,"RM1,428.25",RM0.00,RM0.00,RM0.00,"RM1,428.25","RM1,428.25",RM0.00,RM0.00,RM0.00,"RM1,428.25"
SPHEMK,Unit Kokurikulum,Bengkel/Kerja,MAKmur,A6. Bengkel Kerja Analisis Data Penilaian Model Sekolah Projek MAKMur Tahun 2025,20,03/06/2025,06/06/2025,Pn. Nordiana binti Khalid,DG12,Selesai,,"RM5,174.80",RM0.00,RM0.00,"RM14,070.00","RM19,244.80","RM5,174.80",RM0.00,RM0.00,"RM14,070.00","RM19,244.80"
SPHEMK,Unit Kokurikulum,Bengkel/Kerja,MAKmur,A7. Bengkel Kerja Penulisan Rumusan Laporan Penilaian Model Sekolah Projek MAKMur Tahun 2025,20,10/06/2025,13/06/2025,Pn. Nordiana binti Khalid,DG12,Selesai,,"RM14,361.16",RM0.00,RM0.00,"RM10,800.00","RM25,161.16","RM14,361.16",RM0.00,RM0.00,"RM10,800.00","RM25,161.16"
SPHEMK,Unit Kokurikulum,Bengkel/Kerja,PERPADUAN (BSKK),"B1. Bengkel Kerja Penyelarasan Inisiatif #6 Pembangunan Nilai, Sahsiah dan Perpaduan di Sekolah",1,17/03/2025,17/03/2025,En. Amri bin Azmi,DG12,Selesai,,RM0.00,RM0.00,RM0.00,RM0.00,RM0.00,RM0.00,RM0.00,RM0.00,RM0.00,RM0.00
SPHEMK,Unit Kokurikulum,Bengkel,PERPADUAN (BSKK),B2. Bengkel Perkongsian Ilmu Generasi MADANI dan Perpaduan,20,25/04/2025,25/04/2025,En. Amri bin Azmi,DG12,Selesai,,RM0.00,RM0.00,RM0.00,RM300.00,RM300.00,RM0.00,RM0.00,RM0.00,RM300.00,RM300.00
SPHEMK,Unit Kokurikulum,Bengkel/Kerja,PERPADUAN (BSKK),"B3. Bengkel Kerja Pemurnian Kertas Konsep, Instrumen dan Aneks Penilaian Pengiktirafan Perpaduan di Sekolah Kementerian Pendidikan Malaysia Bawah Inisiatif #6 Pembangunan Nilai, Sahsiah dan Perpaduan Tahun 2025",16,28/04/2025,30/04/2025,En. Amri bin Azmi,DG12,Selesai,,"RM10,784.00",RM0.00,RM0.00,RM960.00,"RM11,744.00","RM10,649.50",RM0.00,RM0.00,RM960.00,"RM11,609.50"
