Sektor,Unit,Tugas,Peruntukan,Nama Program,"Bilangan
Peserta",Tarikh Mula,Tarikh Tamat,Nama Pegawai Bertanggungjawab,Gred Pegawai,Status Pelaksanaan,JUSTIFIKASI BELUM BERMULA/DIPINDA/DIBATALKAN,0S21000 (a1),OS24000 (a2),OS27000 (a3),OS29000 (a4),JUMLAH ANGGARAN PERBELANJAAN (a1+a2+a3+a4),0S21000 (b1),OS24000 (b2),OS27000 (b3),OS29000 (b4),JUMLAH KOMITMEN (b1+b2+b3+b4)
SPK,Unit Pendidikan Islam dan Moral,Mesyuarat,PLAN (BPK),BENGKEL MATA PELAJARAN TVET,80,04/02/2025,05/02/2025,PUAN SHARIFAH SHAHADANIA BINTI SYED HASSAN,DG12,Selesai,TELAH DILAKSANAKAN,RM0.00,RM0.00,RM0.00,RM690.00,RM690.00,RM0.00,RM0.00,RM0.00,RM690.00,RM690.00
SPK,Unit Teknik Vokasional,Bengkel,DSA(JN),BENGKEL PENULISAN LAPORAN PEMERIKSAAN SMT,25,09/07/2025,11/07/2025,PUAN SHARIFAH SHAHADANIA BINTI SYED HASSAN,DG12,Selesai,SELESAI,"RM5,231.30",RM0.00,RM0.00,"RM4,900.00","RM10,131.30",RM0.00,RM0.00,RM0.00,RM0.00,RM0.00
SPK,Unit Teknik Vokasional,Pemeriksaan,DSA(JN),PEMERIKSAAN SMT 2025,56,15/06/2025,20/06/2025,PUAN SHARIFAH SHAHADANIA BINTI SYED HASSAN,DG12,Selesai,TELAH DILAKSANAKAN,"RM74,693.25",RM0.00,RM0.00,RM0.00,"RM74,693.25","RM67,727.30",RM0.00,RM0.00,RM0.00,"RM67,727.30"
SPK,Unit Teknik Vokasional,Bengkel,LDP (BPG),SIRI 1 BENGKEL KERJA MEMPERKASA KEFAHAMAN KONSEP PENTAKSIRAN BILIK DARJAH DALAM PENAZIRAN TAHUN 2025,300,04/02/2025,06/04/2025,CIK HASMIZA BINTI YAAKOB,DG10,Selesai,TELAH DILAKSANAKAN,RM344.07,RM0.00,RM0.00,"RM6,580.00","RM6,924.07",RM344.07,RM0.00,RM0.00,"RM6,580.00","RM6,924.07"
SPK,Unit Teknik Vokasional,Bengkel,LDP (BPG),SIRI 2 BENGKEL KERJA MEMPERKASA KEFAHAMAN KONSEP PENTAKSIRAN BILIK DARJAH DALAM PENAZIRAN TAHUN 2025,300,19/02/2025,21/02/2025,CIK HASMIZA BINTI YAAKOB,DG10,Selesai,TELAH DILAKSANAKAN,"RM12,100.28",RM0.00,RM0.00,"RM6,013.50","RM18,113.78","RM12,100.28",RM0.00,RM0.00,"RM6,013.50","RM18,113.78"
SPK,Unit Pendidikan Islam dan Moral,Acara/Majlis,DSA(JN),"CERAMAH PERDANA SEMPENA PROGRAM HAJI DAN KORBAN JEMAAH NAZIR TAHUN 2025: TUNDUKNYA HATI, TEGAKNYA INTEGRITI",144,30/05/2025,30/05/2025,EN. NORHISHAM BIN ABDULLAH,DG12,Selesai,SUDAH DILAKSANAKAN,RM0.00,RM0.00,RM0.00,"RM2,460.00","RM2,460.00",RM0.00,RM0.00,RM0.00,"RM2,460.00","RM2,460.00"
SPK,Unit Sains Sosial,Bengkel,DSA(JN),PENYEDIAAN INSTRUMEN PEMERIKSAAN DAN PENULISAN RUMUSAN PEMERIKSAAN,10,13/01/2025,14/01/2025,EN. MOHD FAROL BIN FAUZI,DG10,Selesai,TELAH DILAKSANAKAN,"RM1,000.00",RM0.00,RM0.00,RM0.00,"RM1,000.00","RM1,000.00",RM0.00,RM0.00,RM0.00,"RM1,000.00"
SPK,Unit Bahasa dan Kesusasteraan,Mesyuarat,MBMMBI (IPGM),MESYUARAT PENYELARASAN MATA PELAJARAN ,25,13/01/2025,14/01/2025,EN. MOHD NASIR BIN ABD AZIZ,DG13,Selesai,TELAH DILAKSANAKAN,"RM6,251.60",RM0.00,RM0.00,"RM1,200.00","RM7,451.60","RM3,219.57",RM0.00,RM0.00,RM750.00,"RM3,969.57"
SPK,Unit Bahasa dan Kesusasteraan,Kursus,MBMMBI (IPGM),BENGKEL KERJA PENYEDIAAN BAHAN PEMERIKSAAN PELAKSANAAN MBM DI SEKOLAH MENENGAH,20,05/05/2025,07/05/2025,EN. MOHD NASIR BIN ABD AZIZ,DG13,Selesai,SELESAI,"RM12,100.00",RM0.00,RM0.00,RM0.00,"RM12,100.00","RM8,297.22",RM0.00,RM0.00,RM0.00,"RM8,297.22"
SPK,Unit Bahasa dan Kesusasteraan,Bengkel,MBMMBI (IPGM),BENGKEL KERJA PENYEDIAAN BAHAN PEMERIKSAAN PELAKSANAAN MBI DI SEKOLAH MENENGAH,20,26/05/2025,29/05/2025,EN. MOHD NASIR BIN ABD AZIZ,DG13,Selesai,SELESAI,"RM13,050.00",RM0.00,RM0.00,RM0.00,"RM13,050.00","RM8,297.22",RM0.00,RM0.00,RM0.00,"RM8,297.22"
