Sektor,Unit,Tugas,Peruntukan,Nama Program ,"Bilangan
Peserta",Tarikh Mula,Tarikh Tamat,Nama Pegawai Bertanggungjawab,Gred Pegawai,Status Pelaksanaan,JUSTIFIKASI BELUM BERMULA/DIPINDA/DIBATALKAN,0S21000 (a1),OS24000 (a2),OS27000 (a3),OS29000 (a4),JUMLAH ANGGARAN PERBELANJAAN (a1+a2+a3+a4),0S21000 (b1),OS24000 (b2),OS27000 (b3),OS29000 (b4),JUMLAH KOMITMEN (b1+b2+b3+b4)
SSJK,Unit Jaminan Kualiti,Pemeriksaan,DSA(JN),Bengkel Kerja Rumusan Laporan Audit Dalaman Jemaah Nazir,11,18/06/2025,20/06/2025,Dr. Nor Lizana binti Kamaruzaman,DG12,Selesai,,,RM0.00,RM0.00,"RM12,665.50","RM12,665.50",RM0.00,RM0.00,RM0.00,"RM12,883.60","RM12,883.60"
SSJK,Unit Jaminan Kualiti,Mesyuarat,DSA(JN),Audit Dalaman (Audit Silang),6,28/05/2025,20/06/2025,Dr. Nor Lizana binti Kamaruzaman,DG12,Selesai,,,RM0.00,RM0.00,"RM4,800.00","RM4,800.00",RM0.00,RM0.00,RM0.00,"RM5,078.25","RM5,078.25"
SSJK,Unit Jaminan Kualiti,Bengkel,DSA(JN),Taklimat Pengurusan Risiko (MS ISO 9001:2015),350,20/02/2025,20/02/2025,Azilazura binti Abdullah,DG12,Selesai,,"RM2,300.00",RM0.00,RM0.00,,"RM2,300.00","RM2,300.00",RM0.00,RM0.00,RM0.00,"RM2,300.00"
SSJK,Unit Standard,Bengkel,DSA(JN),Bengkel Kerja Rumusan Laporan Kualiti Sekolah (PKS 2023/2024),,,,Normie Azura binti Abdul Jamil,DG12,Belum bermula,,"RM8,000.00",RM0.00,RM0.00,"RM5,000.00","RM13,000.00",RM0.00,RM0.00,RM0.00,RM0.00,RM0.00
SSJK,Unit Standard,Bengkel,DSA(JN),"Bengkel Kerja Pemurnian Instrumen Saringan Portal, Penilaian Pengesahan Taraf Cemerlang dan Penilaian Kecemerlangan Institusi
Pendidikan",23,23/06/2025,26/06/2025,Normie Azura binti Abdul Jamil,DG12,Selesai,,"RM10,000.00",RM0.00,RM0.00,"RM5,000.00","RM15,000.00","RM6,152.08",RM0.00,RM0.00,"RM16,200.00","RM22,352.08"
SSJK,Unit Standard,Mesyuarat,DSA(JN),Mesyuarat Penyelarasan Pelaksanaan SKPM Kualiti@Sekolah Bersama Bahagian KPM,19,06/05/2025,06/05/2025,Normie Azura binti Abdul Jamil,DG12,Selesai,,RM0.00,RM0.00,RM0.00,RM900.00,RM900.00,RM0.00,RM0.00,RM0.00,RM570.00,RM570.00
SSJK,Unit Prasekolah,Bengkel,INISIATIF#59,Bengkel Kerja Penyediaan Dokumen SKPK 3.0 Bersama Task Force Jemaah Nazir Bil. 2 Tahun 2025,21,03/06/2025,05/06/2025,Wan Mohd Sidqi bin Wan Abdul Ghafar,DG12,Selesai,,"RM16,430.04",RM0.00,RM0.00,"RM1,890.00","RM18,320.04",RM0.00,RM0.00,RM0.00,RM0.00,RM0.00
SSJK,Unit Standard,Bengkel,DSA(JN),Penataran Pengesahan Taraf Cemerlang,43,,,Normie Azura binti Abdul Jamil,DG12,Selesai,,RM0.00,RM0.00,RM0.00,RM0.00,RM0.00,RM0.00,RM0.00,RM0.00,RM0.00,RM0.00
SSJK,Unit Prasekolah,Bengkel,INISIATIF#59,Bengkel Kerja Semakan Dokumen Standard Kualiti Prasekolah Kebangsaan (SKPK) 2.0 dan Pembangunan SKPK 3.0 Bersama Task Force Jemaah Nazir Tahun 2025,18,21/01/2025,24/01/2025,Dr. Nor Lizana binti Kamaruzaman,DG12,Selesai,,"RM7,950.00","RM1,620.00",RM0.00,RM0.00,"RM9,570.00","RM7,950.00","RM1,620.00",RM0.00,RM0.00,"RM9,570.00"
SSJK,Unit Prasekolah,Bengkel,INISIATIF#59,"Bengkel Kerja Semakan SKPK 2.0 dan Pembangunan SKPK 3.0 Bersama-sama Pakar, Bahagian KPM dan Agensi Bil.1/2025",33,12/02/2025,14/02/2025,Dr. Nor Lizana binti Kamaruzaman,DG12,Selesai,,"RM11,947.00","RM1,485.00",RM0.00,RM0.00,"RM13,432.00","RM11,947.00","RM1,485.00",RM0.00,RM0.00,"RM13,432.00"
SSJK,Unit Prasekolah,Bengkel,INISIATIF#59,Bengkel Kerja Penyediaan Dokumen SKPK 3.0 Bersama Task Force Jemaah Nazir Bil. 1 Tahun 2025,,11/03/2025,13/03/2025,Wan Mohd Sidqi bin Wan Abdul Ghafar,DG12,Selesai,,"RM10,834.10",RM0.00,RM0.00,RM0.00,"RM10,834.10","RM10,834.10",RM0.00,RM0.00,RM0.00,"RM10,834.10"
SSJK,Unit Prasekolah,Bengkel,INISIATIF#59,"Bengkel Kerja Penyediaan Dokumen Standard  Kualiti Prasekolah Kebangsaan SKPK 3.0 Bersama-sama Pakar, Bahagian KPM dan Agensi Bil.1/2025",38,28/04/2025,30/04/2025,Wan Mohd Sidqi bin Wan Abdul Ghafar,DG12,Selesai,,"RM7,214.44",RM0.00,RM0.00,"RM15,681.60","RM22,896.04","RM7,214.44",RM0.00,RM0.00,"RM15,681.60","RM22,896.04"
